experiment,trial,n_dat,noise,n_int,length_scale,lu,la,err_a_L2,err_u_L2,err_a_Linf,err_u_Linf,final_loss
noise_level,1,,1e-05,,,,,0.4470325367967539,0.08482341598339616,1.2374988456468914,0.31881254089270816,5.9359208237996635
noise_level,2,,1e-05,,,,,0.4395169202727895,0.10496307391940454,1.0204430653245027,0.5232285707362031,5.135435110242193
noise_level,0,,0.0001,,,,,0.3935896112390145,0.13668012312813868,0.629696673440443,0.875734086727829,7.1297714572615645
noise_level,1,,0.0001,,,,,0.4395351686953566,0.08672574197238585,1.1954958809725686,0.2563041976469393,6.050678562785658
noise_level,2,,0.0001,,,,,0.4363328713350824,0.10302413954868327,1.0052206553658565,0.5178063187887976,6.357335135648859
noise_level,0,,0.001,,,,,0.5072681375333346,0.12832858488587717,0.8919129764330533,0.7013900605410026,8.327227885115322
noise_level,1,,0.001,,,,,0.4032769199229167,0.1106328319555929,1.2794638791577468,0.2528746482704832,7.836991542755466
noise_level,2,,0.001,,,,,0.6141967973667222,0.17451600116083676,0.9556683588672559,0.631582789729319,8.171582272960036
noise_level,0,,0.01,,,,,1.1458578467647478,0.5524224116494872,1.6136161562516875,2.878646473965156,17.69426332278586
noise_level,1,,0.01,,,,,0.7989085034274472,0.6708314571901777,1.2384406014740001,1.967432804947651,10.81954059821269
noise_level,2,,0.01,,,,,1.0646421836575781,0.8791225626644973,1.2618471987137676,5.7623280969157555,11.219405460167382
noise_level,0,,0.1,,,,,1.0837189685314406,1.4105057647799133,1.2309468336197167,1.9857885761372143,27.081340911685952
noise_level,1,,0.1,,,,,0.6684969790593518,1.467145293686743,1.1815823518455946,2.1983069408181173,22.347382369184253
noise_level,2,,0.1,,,,,1.8126187035793968,3.765209262137751,1.9881088147538903,5.464813018114335,17.398330583557605
collocation_count,0,,,50,,,,1.1036185286731695,0.315481744002884,1.7296423572235728,1.7031182718735278,1.2204814339794394
collocation_count,1,,,50,,,,1.1317462965055534,0.2833167589109064,1.4124428076243098,0.6798152879631421,1.4329404409585913
collocation_count,2,,,50,,,,1.1206263669035164,0.5295418923156319,1.2544671976389627,3.777198713491538,3.801432225147227
collocation_count,0,,,100,,,,0.9041125444516995,0.3104414075175059,1.3065986018714986,1.914140078825359,1.7287810995573833
collocation_count,1,,,100,,,,0.5406896288458507,0.11915541452223653,0.9265861212553956,0.27160427009924,2.2690000456047326
collocation_count,2,,,100,,,,0.6622686902679674,0.3252085570410664,0.9657556987781486,1.9898768552718422,1.2371641689751507
collocation_count,0,,,220,,,,0.5072681375333346,0.12832858488587717,0.8919129764330533,0.7013900605410026,8.327227885115322
collocation_count,1,,,220,,,,0.4032769199229167,0.1106328319555929,1.2794638791577468,0.2528746482704832,7.836991542755466
collocation_count,2,,,220,,,,0.6141967973667222,0.17451600116083676,0.9556683588672559,0.631582789729319,8.171582272960036
collocation_count,0,,,400,,,,0.45070896359998736,0.2627929575926309,0.7155454798267635,1.2842344547580846,18.85756445948727
collocation_count,1,,,400,,,,0.36476041915969964,0.11185307251901844,0.5842256679014833,0.6082655191754094,13.39326421177536
collocation_count,2,,,400,,,,0.5349045320012304,0.10834078753040106,1.1641566011308782,0.5067949500246823,12.1845650489306
collocation_count,0,,,600,,,,0.5388294342028617,0.10183963952155586,1.2187534383577985,0.47277030477273685,17.968090254293777
collocation_count,1,,,600,,,,0.4355228864935586,0.078894739352821,1.1724609898654823,0.22054766038755583,17.96346932398904
collocation_count,2,,,600,,,,0.4789610098165296,0.2512768526324524,0.8952455116027174,0.9706083317546579,21.9055100233472
kernel_length_scale,0,,,,0.08,,,1.9793641556994983,0.5998686654893822,2.4903567171704775,1.1007703351190106,10.982509713869902
kernel_length_scale,1,,,,0.08,,,2.2937280026548246,1.9256309762277326,3.821257147380201,8.110743756123206,15.458740744782835
kernel_length_scale,2,,,,0.08,,,1.7880680059679528,0.5074164243568924,5.210863744757536,2.0397610383387175,18.755866474756523
kernel_length_scale,0,,,,0.12,,,0.8306998133853313,0.13976268900242986,1.5296402480410678,0.24064209341487136,10.288237710974554
kernel_length_scale,1,,,,0.12,,,0.7327351571359881,0.14559417013916717,1.233851275613147,0.4409268362149759,13.365559613935925
kernel_length_scale,2,,,,0.12,,,0.9454189396800169,0.13599366450183792,2.219349575241224,0.3135957175880016,11.672589651628986
kernel_length_scale,0,,,,0.18,,,0.5072681375333346,0.12832858488587717,0.8919129764330533,0.7013900605410026,8.327227885115322
kernel_length_scale,1,,,,0.18,,,0.4032769199229167,0.1106328319555929,1.2794638791577468,0.2528746482704832,7.836991542755466
kernel_length_scale,2,,,,0.18,,,0.6141967973667222,0.17451600116083676,0.9556683588672559,0.631582789729319,8.171582272960036
kernel_length_scale,0,,,,0.25,,,0.28350986225294494,0.11771220051975749,0.5769071255011062,0.4353219746556482,9.795522976368222
kernel_length_scale,1,,,,0.25,,,0.4035700432905281,0.11380283648738522,1.008378046664123,0.43111994585463087,7.191867619495501
kernel_length_scale,2,,,,0.25,,,0.37606093581864575,0.1483832068960967,0.5701083807567033,1.0317915843903929,7.287707533997611
kernel_length_scale,0,,,,0.35,,,0.33078605380360127,0.23823457653258928,0.6081787992455193,1.9572885710662382,11.463508624381085
kernel_length_scale,1,,,,0.35,,,0.29943611635081324,0.15558102518851571,0.5483795005169156,1.0210124538487169,8.59127450672688
kernel_length_scale,2,,,,0.35,,,0.3160161145173666,0.13602827304787313,0.8802439422085917,1.0052684545279453,8.376288506773452
regularization,0,,,,,1e-05,1e-05,0.5132445928939654,0.13023218340073153,0.9170151396500776,0.7170806976595616,7.19401615166949
regularization,1,,,,,1e-05,1e-05,0.39316778876218134,0.11043071195804141,1.1527494851798024,0.2620914390667849,6.823421927427678
regularization,2,,,,,1e-05,1e-05,0.6017273221229263,0.18075613498793633,1.0014558926495154,0.6758501011876062,7.305869541476032
regularization,0,,,,,0.0001,0.0001,0.5126667372871583,0.13021061476492157,0.9140923719582127,0.7183768503072684,7.310781911728605
regularization,1,,,,,0.0001,0.0001,0.39426737878378865,0.11010022344076227,1.1665100132774313,0.2583018894089726,6.926769508066538
regularization,2,,,,,0.0001,0.0001,0.602437327566494,0.17972162924646193,0.995131007891092,0.6573156621315374,7.400189732793463
regularization,0,,,,,0.001,0.001,0.5072681375333346,0.12832858488587717,0.8919129764330533,0.7013900605410026,8.327227885115322
regularization,1,,,,,0.001,0.001,0.4032769199229167,0.1106328319555929,1.2794638791577468,0.2528746482704832,7.836991542755466
regularization,2,,,,,0.001,0.001,0.6141967973667222,0.17451600116083676,0.9556683588672559,0.631582789729319,8.171582272960036
regularization,0,,,,,0.01,0.01,0.5067380149212187,0.12195344167294592,0.8587229496267839,0.5778011164207398,13.093957990272267
regularization,1,,,,,0.01,0.01,0.4073936227617837,0.15812290327531597,1.276110435163319,0.40632463588688195,12.617691980974262
regularization,2,,,,,0.01,0.01,0.7362104673745236,0.21866381275045257,1.2405438833205735,0.9357786308624843,11.612013212492387
regularization,0,,,,,0.1,0.1,0.5915761186692349,0.09965314265822983,0.8582442511046956,0.1796790243499587,20.449911639470578
regularization,1,,,,,0.1,0.1,0.5160621225632782,0.19854021878602487,0.8397788016893037,0.615524780121076,20.620382627944714
regularization,2,,,,,0.1,0.1,0.5511860115193997,0.10379062490469766,0.7687537570990638,0.3154731460966293,19.18251032857563
